sale_id,sale_date,product_id,quantity,customer_id,discount_applied,payment_method ,discount_percent
1,2024-11-14,41,2,49,Yes,Card,0.09
2,2024-12-30,87,2,201,No,Online,0.0
3,2024-07-05,24,2,292,No,Card,0.0
4,2024-05-21,35,1,325,No,Online,0.0
5,2024-04-18,24,3,74,No,Cash,0.0
6,2024-05-10,18,1,167,No,Cash,0.0
7,2024-03-12,22,2,323,No,Card,0.0
8,2024-07-27,55,3,177,No,Cash,0.0
9,2024-11-03,24,1,90,No,Online,0.0
10,2024-12-10,71,2,318,No,Card,0.0
11,2024-09-19,99,1,28,No,Card,0.0
12,2024-01-06,1,3,314,No,Cash,0.0
13,2024-02-07,38,1,86,No,Online,0.0
14,2024-01-07,60,2,39,No,Cash,0.0
15,2024-10-26,38,3,256,No,Card,0.0
16,2024-10-24,10,3,266,Yes,Cash,0.05
17,2024-09-08,91,2,188,No,Cash,0.0
18,2024-01-09,9,2,80,Yes,Cash,0.05
19,2024-11-03,65,2,325,No,Online,0.0
20,2024-03-11,23,2,8,No,Card,0.0
21,2024-12-11,48,1,139,No,Online,0.0
22,2024-01-23,110,1,159,No,Card,0.0
23,2024-04-02,39,3,180,Yes,Card,0.03
24,2024-08-18,23,3,175,No,Online,0.0
25,2024-08-19,29,2,270,No,Online,0.0
26,2024-08-22,110,1,148,No,Online,0.0
27,2024-10-22,27,1,243,No,Online,0.0
28,2024-05-21,104,2,221,Yes,Online,0.07
29,2024-08-07,99,1,244,No,Cash,0.0
30,2024-04-06,42,2,28,No,Cash,0.0
31,2024-12-06,90,2,158,No,Online,0.0
32,2024-07-06,41,3,229,No,Online,0.0
33,2024-01-27,73,1,46,No,Card,0.0
34,2024-12-10,54,3,47,Yes,Card,0.09
35,2024-03-06,10,1,15,No,Online,0.0
36,2024-10-24,106,2,100,No,Online,0.0
37,2024-11-03,47,2,231,No,Online,0.0
38,2024-05-03,39,3,180,No,Card,0.0
39,2024-07-03,28,1,207,No,Online,0.0
40,2024-02-22,107,1,95,No,Cash,0.0
41,2024-02-28,92,1,130,Yes,Online,0.05
42,2024-04-26,82,3,123,No,Online,0.0
43,2024-05-17,106,3,144,No,Cash,0.0
44,2024-04-10,92,1,45,No,Online,0.0
45,2024-10-18,29,3,251,Yes,Online,0.06
46,2024-05-15,41,3,99,No,Cash,0.0
47,2024-09-20,66,2,189,No,Cash,0.0
48,2024-08-07,81,2,134,Yes,Cash,0.02
49,2024-10-05,38,1,318,No,Online,0.0
50,2024-08-28,40,3,99,No,Online,0.0
51,2024-05-26,54,3,110,No,Card,0.0
52,2024-06-12,81,2,147,No,Online,0.0
53,2024-04-08,101,3,110,No,Online,0.0
54,2024-07-25,9,3,245,No,Card,0.0
55,2024-08-18,88,2,45,No,Online,0.0
56,2024-04-14,69,1,246,Yes,Cash,0.06
57,2024-11-09,59,3,60,No,Online,0.0
58,2024-01-31,82,1,204,No,Card,0.0
59,2024-11-30,107,2,174,No,Cash,0.0
60,2024-06-26,4,3,27,No,Cash,0.0
61,2024-09-28,98,2,185,Yes,Online,0.02
62,2024-10-19,31,1,41,No,Cash,0.0
63,2024-02-06,13,1,302,No,Online,0.0
64,2024-05-24,62,2,78,No,Online,0.0
65,2024-09-01,103,2,219,No,Online,0.0
66,2024-10-05,67,1,257,Yes,Card,0.1
67,2024-06-24,20,2,176,No,Card,0.0
68,2024-04-24,14,2,41,No,Online,0.0
